date,package,version,release_record
2020-11-23,healthyR.data,1.0.0,1
2020-12-03,healthyR,0.1.0,1
2020-12-05,healthyR,0.1.1,1
2021-01-22,healthyR.ts,0.1.0,1
2021-02-09,healthyR.ts,0.1.1,1
2021-02-17,healthyverse,1.0.0,1
2021-02-23,healthyR,0.1.2,1
2021-04-09,healthyR.data,1.0.1,1
2021-06-03,healthyR,0.1.3,1
2021-06-13,healthyR,0.1.4,1
2021-06-22,healthyR,0.1.5,1
2021-06-25,healthyR.ts,0.1.2,1
2021-08-20,healthyR.ai,0.0.1,1
2021-08-20,healthyR,0.1.6,1
2021-08-23,healthyR.ts,0.1.3,1
2021-08-23,healthyverse,1.0.1,1
2021-09-03,healthyR.ai,0.0.2,1
2021-10-31,healthyR.ts,0.1.4,1
2021-11-11,healthyR.ts,0.1.5,1
2021-11-23,healthyR.ai,0.0.3,1
2021-12-04,healthyR.ts,0.1.6,1
2021-12-08,healthyR.ai,0.0.4,1
2021-12-11,healthyR.ts,0.1.7,1
2022-01-05,healthyR,0.1.7,1
2022-01-07,healthyR.ai,0.0.5,1
2022-01-21,TidyDensity,0.0.1,1
2022-01-21,healthyverse,1.0.2,1
2022-02-25,healthyR.ts,0.1.8,1
2022-02-27,healthyR,0.1.8,1
2022-02-28,healthyR.ai,0.0.6,1
